,Country or region,Overall rank,Score,Whisker.high,Whisker.low,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia.Residual
135,Malawi,136,3.97000002861023,4.07747881740332,3.86252123981714,0.233442038297653,0.5125688314437871,0.315089583396912,0.466914653778076,0.28717046976089505,0.0727116540074348,2.08178615570068
136,Chad,137,3.9360001087188703,4.0347115239501,3.8372886934876402,0.43801298737525896,0.953855872154236,0.0411347150802612,0.16234202682972002,0.21611385047435802,0.0535818822681904,2.07123804092407
137,Zimbabwe,138,3.875,3.97869964271784,3.77130035728216,0.37584653496742204,1.08309590816498,0.19676375389099102,0.336384207010269,0.189143493771553,0.0953753814101219,1.59797024726868
138,Lesotho,139,3.80800008773804,4.04434397548437,3.5716561999917,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.157497271895409,0.119094640016556,1.42983531951904
139,Angola,140,3.79500007629395,3.9516419354081203,3.63835821717978,0.8584281802177429,1.1044119596481299,0.0498686656355858,0.0,0.09792649000883098,0.0697203353047371,1.6144824028015101
140,Afghanistan,141,3.7939999103546103,3.8736614152789106,3.71433840543032,0.401477217674255,0.581543326377869,0.18074677884578697,0.106179520487785,0.311870932579041,0.0611578300595284,2.15080118179321
141,Botswana,142,3.7660000324249303,3.8741226662695403,3.65787739858031,1.12209415435791,1.2215549945831299,0.34175550937652605,0.505196332931519,0.0993484482169151,0.0985831990838051,0.37791371345520003
142,Benin,143,3.65700006484985,3.74578355133533,3.56821657836437,0.43108540773391707,0.43529984354972795,0.20993021130561804,0.42596277594566295,0.207948461174965,0.0609290152788162,1.88563096523285
143,Madagascar,144,3.64400005340576,3.7143191058933698,3.57368100091815,0.305808693170547,0.9130203723907471,0.375223308801651,0.18919676542282102,0.208732530474663,0.0672319754958153,1.58461260795593
144,Haiti,145,3.6029999256133998,3.73471479773521,3.4712850534915902,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.48920378088951094,0.0998721495270729,1.69716763496399
145,Yemen,146,3.59299993515015,3.6927503198385203,3.4932495504617704,0.5916834473609921,0.93538224697113,0.310080915689468,0.24946372210979503,0.104125209152699,0.0567674227058887,1.3456006050109899
146,South Sudan,147,3.5910000801086404,3.7255385857820498,3.45646157443523,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,1.8795673847198502
147,Liberia,148,3.5329999923706095,3.6537562608718903,3.4122437238693197,0.11904179304838199,0.8721179366111759,0.229918196797371,0.33288118243217496,0.26654988527298,0.0389482490718365,1.6732859611511202
148,Guinea,149,3.50699996948242,3.58442812889814,3.4295718100667,0.24454993009567302,0.7912446856498722,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,1.55231189727783
149,Togo,150,3.4949998855590803,3.59403811171651,3.39596165940166,0.30544471740722695,0.4318825304508211,0.247105568647385,0.38042613863945,0.19689615070819896,0.0956650152802467,1.8372292518615703
150,Rwanda,151,3.47099995613098,3.54303023353219,3.3989696787297703,0.368745893239975,0.945707023143768,0.326424807310104,0.5818438529968261,0.25275602936744695,0.455220013856888,0.540061235427856
151,Syria,152,3.46199989318848,3.66366855680943,3.2603312295675297,0.777153134346008,0.396102607250214,0.5005333423614501,0.0815394446253777,0.49366372823715204,0.15134713053703303,1.06157350540161
152,Tanzania,153,3.34899997711182,3.4614297553896898,3.23657019883394,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,0.621130466461182
153,Burundi,154,2.90499997138977,3.07469033300877,2.73530960977077,0.09162256866693501,0.629793584346771,0.151610791683197,0.0599007532000542,0.20443518459796897,0.0841479450464249,1.68302416801453
154,Central African Republic,155,2.69300007820129,2.8648842692375203,2.52111588716507,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2.06600475311279
0,Finland,1,7.632000000000001,,,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,
1,Norway,2,7.593999999999999,,,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,
2,Denmark,3,7.555,,,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,
3,Iceland,4,7.495,,,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,
4,Switzerland,5,7.487,,,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,
5,Netherlands,6,7.441,,,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,
6,Canada,7,7.327999999999999,,,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,
7,New Zealand,8,7.324,,,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,
8,Sweden,9,7.314,,,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,
9,Australia,10,7.272,,,1.34,1.5730000000000002,0.91,0.647,0.361,0.302,
10,United Kingdom,11,7.19,,,1.244,1.433,0.888,0.46399999999999997,0.262,0.08199999999999999,
11,Austria,12,7.138999999999999,,,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,
12,Costa Rica,13,7.072,,,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,0.10099999999999999,
13,Ireland,14,6.977,,,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,0.306,
14,Germany,15,6.965,,,1.34,1.474,0.861,0.586,0.273,0.28,
15,Belgium,16,6.9270000000000005,,,1.324,1.483,0.894,0.583,0.188,0.24,
16,Luxembourg,17,6.91,,,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,
17,United States,18,6.886,,,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,0.133,
18,Israel,19,6.814,,,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,0.272,
19,United Arab Emirates,20,6.774,,,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,,
20,Czech Republic,21,6.711,,,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,0.034,
21,Malta,22,6.627000000000001,,,1.27,1.525,0.884,0.645,0.376,0.142,
22,France,23,6.489,,,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,0.17600000000000002,
23,Mexico,24,6.4879999999999995,,,1.038,1.252,0.7609999999999999,0.479,0.069,0.095,
24,Chile,25,6.476,,,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,0.061,
25,Taiwan,26,6.441,,,1.365,1.436,0.857,0.418,0.151,0.078,
26,Panama,27,6.43,,,1.112,1.4380000000000002,0.759,0.597,0.125,0.063,
27,Brazil,28,6.419,,,0.986,1.474,0.675,0.493,0.11,0.08800000000000001,
28,Argentina,29,6.388,,,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,
29,Guatemala,30,6.382000000000001,,,0.7809999999999999,1.268,0.608,0.604,0.179,0.071,
30,Uruguay,31,6.379,,,1.093,1.459,0.7709999999999999,0.625,0.13,0.155,
31,Qatar,32,6.374,,,1.649,1.3030000000000002,0.748,0.654,0.256,0.171,
32,Saudi Arabia,33,6.371,,,1.379,1.331,0.633,0.509,0.098,0.127,
33,Singapore,34,6.343,,,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,0.457,
34,Malaysia,35,6.322,,,1.161,1.258,0.669,0.35600000000000004,0.311,0.059000000000000004,
35,Spain,36,6.31,,,1.251,1.538,0.965,0.449,0.142,0.07400000000000001,
36,Colombia,37,6.26,,,0.96,1.439,0.635,0.531,0.099,0.039,
37,Trinidad & Tobago,38,6.192,,,1.2229999999999999,1.492,0.564,0.575,0.171,0.019,
